"Record ID","FirstName","LastLame","Email","CreateDate","CompanyName","BuyingRole","BuyingRoleOption","MobilePhone Number","Additionalemail addresses"
"1517","Issie","Blas","issie.blas@einti.com","2022-08-12 11:20","Einti","","Blocker","679-311-0238",""
"1463","Archy","McCome","archy.mccome@voonix.com","2022-08-12 11:20","Voonix","","End User","",""
"1312","Freida","McNish","freida.mcnish@devshare.com","2022-08-12 11:20","Devshare","Blocker","Blocker","266-202-7338",""
"907","Bobbye","Gwyther","bobbye.gwyther@jabbertype.com","2022-08-12 11:20","Jabbertype","","Blocker","",""
"357","Farrel","Pirson","farrel.pirson@meeveo.com","2022-08-12 11:20","Meeveo","Decision Maker","Decision Maker","371-554-4874",""
"762","Bucky","Hubbucks","bucky.hubbucks@gevee.com","2022-08-12 11:20","Gevee","Blocker","Blocker","450-233-5628",""
"106","Lenora","Parzis","lenora.parzis@yadel.com","2022-08-12 11:20","Yadel","","Executive Sponsor","364-250-7577",""
"1318","Marcus","Balnaves","marcus.balnaves@realbridge.com","2022-08-12 11:20","Realbridge","","Legal & Compliance","",""
"1654","Nerti","Davidek","nerti.davidek@muxo.com","2022-08-12 11:20","Muxo","","Champion","262-779-6402",""
"1664","Brunhilde","Whyte","brunhilde.whyte@yombu.com","2022-08-12 11:20","Yombu","","Blocker","875-123-5308",""
"757","Fredek","Targetter","fredek.targetter@muxo.com","2022-08-12 11:20","Muxo","Legal & Compliance","Legal & Compliance","",""
"1505","Derby","Cheers","derby.cheers@myworks.com","2022-08-12 11:20","Myworks","","Budget Holder","295-500-9392",""
"1356","Garey","Batt","garey.batt@eire.com","2022-08-12 11:20","Eire","","Blocker","",""
"1320","Emlynne","Gutsell","emlynne.gutsell@jazzy.com","2022-08-12 11:20","Jazzy","","Champion","553-173-8961",""
"1307","Stanford","Shearsby","stanford.shearsby@janyx.com","2022-08-12 11:20","Janyx","","Influencer","353-151-9035",""
"1060","Madelon","Antoniottii","madelon.antoniottii@yombu.com","2022-08-12 11:20","Yombu","","Executive Sponsor","",""
"455","Marie-ann","Diche","marie-ann.diche@meezzy.com","2022-08-12 11:20","Meezzy","","Champion","",""
"1804","Anthony","Ralls","anthony.ralls@rhyzio.com","2022-08-12 11:20","Rhyzio","","Influencer","",""
"1803","Evelyn","Paybody","evelyn.paybody@wordtune.com","2022-08-12 11:20","Wordtune","","Champion","843-205-5829",""
"1653","Ronald","Bewsy","ronald.bewsy@dabtype.com","2022-08-12 11:20","Dabtype","Decision Maker","Decision Maker","334-859-0458",""
"1459","Sloane","Gerritzen","sloane.gerritzen@flashpoint.com","2022-08-12 11:20","Flashpoint","","Decision Maker","",""
"760","Durante","Daysh","durante.daysh@realcube.com","2022-08-12 11:20","Realcube","","Decision Maker","",""
"456","Dulcea","Mapam","dulcea.mapam@dynabox.com","2022-08-12 11:20","Dynabox","","Influencer","",""
"355","Cole","Pawle","cole.pawle@mybuzz.com","2022-08-12 11:20","Mybuzz","Budget Holder","Budget Holder","282-523-7610",""
"213","Randene","Redding","randene.redding@jaloo.com","2022-08-12 11:20","Jaloo","","Blocker","",""
"205","Chadwick","Asher","chadwick.asher@yakitri.com","2022-08-12 11:20","Yakitri","","Executive Sponsor","609-221-9593",""
"1061","Lilah","Swinbourne","lilah.swinbourne@meezzy.com","2022-08-12 11:20","Meezzy","","Decision Maker","",""
"1811","Andi","Sakins","andi.sakins@dynabox.com","2022-08-12 11:20","Dynabox","Legal & Compliance","Legal & Compliance","",""
"1314","Adina","Jolly","adina.jolly@skyvu.com","2022-08-12 11:20","Skyvu","","Budget Holder","",""
"1655","Keenan","Hearst","keenan.hearst@yakidoo.com","2022-08-12 11:20","Yakidoo","","Influencer","",""
"1511","Edward","Colliard","edward.colliard@meezzy.com","2022-08-12 11:20","Meezzy","Budget Holder","Budget Holder","",""
"462","Aggie","Lawly","aggie.lawly@rooxo.com","2022-08-12 11:20","Rooxo","Decision Maker","Decision Maker","468-262-2744",""
"1515","Reggi","Fortin","reggi.fortin@skinix.com","2022-08-12 11:20","Skinix","","Other","",""
"805","Jae","Spaduzza","jae.spaduzza@devshare.com","2022-08-12 11:20","Devshare","","Champion","161-798-1187",""
"1504","Kelcy","Earwicker","kelcy.earwicker@muxo.com","2022-08-12 11:20","Muxo","","Other","539-332-7677",""
"1465","Aldous","Terney","aldous.terney@babbleopia.com","2022-08-12 11:20","Babbleopia","","Decision Maker","835-554-7629",""
"1659","Lydia","Kwiek","lydia.kwiek@linktype.com","2022-08-12 11:20","Linktype","","Decision Maker","151-567-0070",""
"554","Feodora","MacKaile","feodora.mackaile@photojam.com","2022-08-12 11:20","Photojam","Legal & Compliance","Legal & Compliance","",""
"110","Stefan","De Vaan","stefan.devaan@yakidoo.com","2022-08-12 11:20","Yakidoo","","End User","",""
"558","Stefan","Nelissen","stefan.nelissen@myworks.com","2022-08-12 11:20","Myworks","","Budget Holder","",""
"1506","Roberto","Romaynes","roberto.romaynes@yoveo.com","2022-08-12 11:20","Yoveo","Influencer","Influencer","286-822-7938",""
"505","Kali","McCaughren","kali.mccaughren@vimbo.com","2022-08-12 11:20","Vimbo","Champion","Champion","",""
"358","Nolie","Junkin","nolie.junkin@muxo.com","2022-08-12 11:20","Muxo","","Other","483-495-7915",""
"107","Elizabeth","McErlaine","elizabeth.mcerlaine@youspan.com","2022-08-12 11:20","Youspan","Champion","Champion","793-637-0880",""
"562","Kattie","Tritten","kattie.tritten@gabvine.com","2022-08-12 11:20","Gabvine","End User","End User","871-546-4235",""
"1652","Edee","Espinola","edee.espinola@wordware.com","2022-08-12 11:20","Wordware","Budget Holder","Budget Holder","713-840-6052",""
"1658","Bernie","Barsham","bernie.barsham@yakijo.com","2022-08-12 11:20","Yakijo","","Budget Holder","",""
"561","Milton","Strotton","milton.strotton@avavee.com","2022-08-12 11:20","Avavee","Champion","Champion","",""
"454","Arleyne","Brocking","arleyne.brocking@jabbertype.com","2022-08-12 11:20","Jabbertype","","Champion","750-682-2546",""
"1310","Aidan","Samudio","aidan.samudio@agivu.com","2022-08-12 11:20","Agivu","Other","Other","",""
"1053","Georgiana","Prys","georgiana.prys@demivee.com","2022-08-12 11:20","Demivee","","Decision Maker","",""
"759","Albina","Semrad","albina.semrad@demivee.com","2022-08-12 11:20","Demivee","Decision Maker","Decision Maker","",""
"559","Torrance","Leebeter","torrance.leebeter@edgetag.com","2022-08-12 11:20","Edgetag","","Blocker","130-607-8881",""
"509","Cristionna","Filippucci","cristionna.filippucci@topiczoom.com","2022-08-12 11:20","Topiczoom","Legal & Compliance","Legal & Compliance","617-361-3162",""
"1852","Garwood","Tanguy","garwood.tanguy@skalith.com","2022-08-12 11:20","Skalith","","Executive Sponsor","",""
"1851","Judah","Addicote","judah.addicote@blogtag.com","2022-08-12 11:20","Blogtag","","Other","737-983-4432",""
"1809","Tildi","Harkins","tildi.harkins@mydeo.com","2022-08-12 11:20","Mydeo","","Blocker","",""
"1657","Pasquale","Witheford","pasquale.witheford@mycat.com","2022-08-12 11:20","Mycat","End User","End User","737-305-8361",""
"457","Camala","Gibb","camala.gibb@oba.com","2022-08-12 11:20","Oba","Other","Other","200-976-3752",""
"105","Hamil","Milam","hamil.milam@jayo.com","2022-08-12 11:20","Jayo","Executive Sponsor","Executive Sponsor","",""
"1309","Nefen","Casale","nefen.casale@trilith.com","2022-08-12 11:20","Trilith","","Legal & Compliance","",""
"1854","Griz","Biddy","griz.biddy@browseblab.com","2022-08-12 11:20","Browseblab","Champion","Champion","",""
"1466","Jorrie","Gammill","jorrie.gammill@gabvine.com","2022-08-12 11:20","Gabvine","Blocker","Blocker","",""
"908","Ruprecht","Goldwater","ruprecht.goldwater@einti.com","2022-08-12 11:20","Einti","End User","End User","",""
"111","Korie","Coda","korie.coda@photojam.com","2022-08-12 11:20","Photojam","","Champion","",""
"708","Karlik","McGonigle","karlik.mcgonigle@skiba.com","2022-08-12 11:20","Skiba","","Executive Sponsor","",""
"1358","Marina","Twidell","marina.twidell@gevee.com","2022-08-12 11:20","Gevee","Other","Other","",""
"1812","Kennan","Baskett","kennan.baskett@avamm.com","2022-08-12 11:20","Avamm","Other","Other","",""
"508","Toby","Ducker","toby.ducker@voonix.com","2022-08-12 11:20","Voonix","Budget Holder","Budget Holder","976-973-9688",""
"1516","Jules","Crosfield","jules.crosfield@browsetype.com","2022-08-12 11:20","Browsetype","","Other","636-603-8701",""
"458","Shirlene","Garland","shirlene.garland@centidel.com","2022-08-12 11:20","Centidel","","Decision Maker","",""
"809","Nikki","Vearncombe","nikki.vearncombe@cogibox.com","2022-08-12 11:20","Cogibox","","Other","495-837-0482",""
"203","Emiline","Bohden","emiline.bohden@abata.com","2022-08-12 11:20","Abata","Decision Maker","Decision Maker","546-235-5347",""
"209","Herb","Mainston","herb.mainston@yodo.com","2022-08-12 11:20","Yodo","Blocker","Blocker","",""
"1453","Rube","Sisnett","rube.sisnett@cogidoo.com","2022-08-12 11:20","Cogidoo","","Legal & Compliance","498-991-9558",""
"210","Rosalinda","McEnery","rosalinda.mcenery@edgetag.com","2022-08-12 11:20","Edgetag","Legal & Compliance","Legal & Compliance","460-513-5752",""
"504","Leora","Risman","leora.risman@mita.com","2022-08-12 11:20","Mita","","Influencer","",""
"1464","Olia","Eastmond","olia.eastmond@wordpedia.com","2022-08-12 11:20","Wordpedia","","Legal & Compliance","",""
"807","Tiffie","Rodgers","tiffie.rodgers@devcast.com","2022-08-12 11:20","Devcast","Executive Sponsor","Executive Sponsor","",""
"754","Upton","Howsin","upton.howsin@nlounge.com","2022-08-12 11:20","Nlounge","Executive Sponsor","Executive Sponsor","608-754-5424",""
"254","Ileana","McCoish","ileana.mccoish@tazzy.com","2022-08-12 11:20","Tazzy","","Other","183-300-0449",""
"1510","Gun","Sapseed","gun.sapseed@aibox.com","2022-08-12 11:20","Aibox","Influencer","Influencer","",""
"1467","Lucienne","Dansey","lucienne.dansey@yata.com","2022-08-12 11:20","Yata","","End User","",""
"103","Owen","Cruttenden","owen.cruttenden@yombu.com","2022-08-12 11:20","Yombu","","Blocker","606-159-6617",""
"204","Shellysheldon","Roos","shellysheldon.roos@twitternation.com","2022-08-12 11:20","Twitternation","","Decision Maker","664-398-5657",""
"1313","Celia","Foottit","celia.foottit@browsetype.com","2022-08-12 11:20","Browsetype","Budget Holder","Budget Holder","",""
"1457","Dillie","Annakin","dillie.annakin@mybuzz.com","2022-08-12 11:20","Mybuzz","Decision Maker","Decision Maker","642-139-2406",""
"1807","Violante","Kwiek","violante.kwiek@rhynyx.com","2022-08-12 11:20","Rhynyx","Other","Other","447-350-3156",""
"1512","Ilise","Doncom","ilise.doncom@voonix.com","2022-08-12 11:20","Voonix","","Champion","",""
"109","Gerick","Basso","gerick.basso@meejomeemm.com","2022-08-12 11:20","MeejoMeemm","Blocker","Blocker","647-401-0428",""
"1656","Bunnie","Dorr","bunnie.dorr@brainverse.com","2022-08-12 11:20","Brainverse","","Blocker","225-366-3248",""
"1054","Bennie","Hawkswood","bennie.hawkswood@yakijo.com","2022-08-12 11:20","Yakijo","","Influencer","308-375-0021",""
"705","Audre","Hew","audre.hew@rhynyx.com","2022-08-12 11:20","Rhynyx","","Budget Holder","",""
"207","Jaimie","Gussie","jaimie.gussie@twimbo.com","2022-08-12 11:20","Twimbo","Influencer","Influencer","334-500-0153",""
"1460","Morgana","Schwaiger","morgana.schwaiger@oodoo.com","2022-08-12 11:20","Oodoo","","Champion","",""
"803","Vivian","Smewings","vivian.smewings@avavee.com","2022-08-12 11:20","Avavee","","Legal & Compliance","423-665-6908",""
"354","Fredrick","Dinzey","fredrick.dinzey@feedmix.com","2022-08-12 11:20","Feedmix","","Executive Sponsor","",""
"1458","Maisey","Gomby","maisey.gomby@yotz.com","2022-08-12 11:20","Yotz","","Decision Maker","916-712-8598",""
"1353","Dall","Jodrelle","dall.jodrelle@aibox.com","2022-08-12 11:20","Aibox","","Blocker","890-263-0014",""
"1306","Marti","Smerdon","marti.smerdon@abatz.com","2022-08-12 11:20","Abatz","","Legal & Compliance","",""
"1055","Farlie","Angliss","farlie.angliss@thoughtblab.com","2022-08-12 11:20","Thoughtblab","End User","End User","",""
"1503","Tera","Cordet","tera.cordet@browsedrive.com","2022-08-12 11:20","Browsedrive","Influencer","Influencer","",""
"552","Conant","Server","conant.server@voonte.com","2022-08-12 11:20","Voonte","","Influencer","188-611-6400",""
"1304","Murray","Jeannel","murray.jeannel@topiczoom.com","2022-08-12 11:20","Topiczoom","Champion","Champion","159-237-0590",""
"1455","Dorothea","Liddiard","dorothea.liddiard@mydeo.com","2022-08-12 11:20","Mydeo","","Blocker","",""
"755","Ingmar","Stanmer","ingmar.stanmer@thoughtstorm.com","2022-08-12 11:20","Thoughtstorm","Blocker","Blocker","914-156-4963",""
"904","Ham","Ambrogiotti","ham.ambrogiotti@omba.com","2022-08-12 11:20","Omba","","Budget Holder","586-322-9840",""
"1351","Claus","Geall","claus.geall@twitternation.com","2022-08-12 11:20","Twitternation","Decision Maker","Decision Maker","701-750-9730",""
"1311","Patricio","Clover","patricio.clover@aibox.com","2022-08-12 11:20","Aibox","End User","End User","270-617-2979",""
"703","Melania","Meddings","melania.meddings@feednation.com","2022-08-12 11:20","Feednation","End User","End User","195-413-8511",""
"1302","Vere","Vanelli","vere.vanelli@brainverse.com","2022-08-12 11:20","Brainverse","Other","Other","",""
"702","Rivi","Divver","rivi.divver@yakidoo.com","2022-08-12 11:20","Yakidoo","Decision Maker","Decision Maker","479-259-8329",""
"706","Jermaine","Eland","jermaine.eland@rhycero.com","2022-08-12 11:20","Rhycero","Budget Holder","Budget Holder","",""
"1456","Todd","Doyley","todd.doyley@chatterbridge.com","2022-08-12 11:20","Chatterbridge","Legal & Compliance","Legal & Compliance","",""
"1201","Ferrell","Shipston","ferrell.shipston@gabtype.com","2022-08-12 11:20","Gabtype","","Legal & Compliance","238-673-0369",""
"556","Laughton","Hasted","laughton.hasted@linklinks.com","2022-08-12 11:20","Linklinks","Influencer","Influencer","874-113-3878",""
"356","Valaree","Nelissen","valaree.nelissen@yadel.com","2022-08-12 11:20","Yadel","","Champion","949-910-5130",""
"1052","Yoshiko","Brooker","yoshiko.brooker@twimm.com","2022-08-12 11:20","Twimm","","Executive Sponsor","",""
"461","Raychel","Soutar","raychel.soutar@avaveo.com","2022-08-12 11:20","Avaveo","Legal & Compliance","Legal & Compliance","",""
"1701","Perry","Ruthven","perry.ruthven@npath.com","2022-08-12 11:20","Npath","","Legal & Compliance","325-730-5348",""
"353","Aindrea","Mill","aindrea.mill@zoozzy.com","2022-08-12 11:20","Zoozzy","Budget Holder","Budget Holder","",""
"1462","Tricia","Nelmes","tricia.nelmes@digitube.com","2022-08-12 11:20","Digitube","","Executive Sponsor","122-629-1386",""
"1454","Meagan","Twitchett","meagan.twitchett@voolia.com","2022-08-12 11:20","Voolia","","Blocker","",""
"1805","Emilio","Brach","emilio.brach@twitterlist.com","2022-08-12 11:20","Twitterlist","Executive Sponsor","Executive Sponsor","",""
"208","Milli","McAlindon","milli.mcalindon@camido.com","2022-08-12 11:20","Camido","","Champion","",""
"402","Manny","Huband","manny.huband@jayo.com","2022-08-12 11:20","Jayo","","Budget Holder","339-494-5625",""
"1502","Chevy","Candey","chevy.candey@rhynyx.com","2022-08-12 11:20","Rhynyx","End User","End User","486-301-2728",""
"905","Denys","Loffhead","denys.loffhead@eayo.com","2022-08-12 11:20","Eayo","","Champion","",""
"1802","Otto","Jurs","otto.jurs@oyoloo.com","2022-08-12 11:20","Oyoloo","Budget Holder","Budget Holder","768-844-8126",""
"1751","Shelton","Trusty","shelton.trusty@avaveo.com","2022-08-12 11:20","Avaveo","","Champion","",""
"1601","Huntlee","Hassen","huntlee.hassen@mycat.com","2022-08-12 11:20","Mycat","Influencer","Influencer","",""
"1501","Fee","Rawlings","fee.rawlings@voonte.com","2022-08-12 11:20","Voonte","Blocker","Blocker","",""
"1001","Nobie","Lean","nobie.lean@gabtype.com","2022-08-12 11:20","Gabtype","Legal & Compliance","Legal & Compliance","",""
"453","Theressa","Stedell","theressa.stedell@mybuzz.com","2022-08-12 11:20","Mybuzz","","Blocker","",""
"351","Sharline","Harrington","sharline.harrington@miboo.com","2022-08-12 11:20","Miboo","Blocker","Blocker","",""
"806","Alanah","McKibbin","alanah.mckibbin@abatz.com","2022-08-12 11:20","Abatz","Other","Other","",""
"751","Madelina","Ghidetti","madelina.ghidetti@flashset.com","2022-08-12 11:20","Flashset","Budget Holder","Budget Holder","",""
"1401","Delilah","Roisen","delilah.roisen@oyoyo.com","2022-08-12 11:20","Oyoyo","","Other","974-913-3127",""
"1801","Chrissie","Garahan","chrissie.garahan@rhyzio.com","2022-08-12 11:20","Rhyzio","Budget Holder","Budget Holder","978-350-5897",""
"753","Tanney","Hindenburg","tanney.hindenburg@mybuzz.com","2022-08-12 11:20","Mybuzz","","Executive Sponsor","313-786-2344",""
"451","Tish","Martusov","tish.martusov@kwilith.com","2022-08-12 11:20","Kwilith","","Executive Sponsor","372-499-6444",""
"403","Minette","Bastin","minette.bastin@devshare.com","2022-08-12 11:20","Devshare","Champion","Champion","563-459-8542",""
"253","Allan","Coad","allan.coad@kazu.com","2022-08-12 11:20","Kazu","Influencer","Influencer","",""
"503","Pace","Moar","pace.moar@camido.com","2022-08-12 11:20","Camido","Executive Sponsor","Executive Sponsor","500-120-6007",""
"501","Artie","Dagworthy","artie.dagworthy@abatz.com","2022-08-12 11:20","Abatz","","Budget Holder","",""
"452","Nedi","Hamil","nedi.hamil@zooveo.com","2022-08-12 11:20","Zooveo","Budget Holder","Budget Holder","",""
"104","Hussein","Bhatia","hussein.bhatia@cogidoo.com","2022-08-12 11:20","Cogidoo","","Budget Holder","",""
"1451","Karlens","Suffe","karlens.suffe@yadel.com","2022-08-12 11:20","Yadel","Legal & Compliance","Legal & Compliance","520-575-1816",""
"551","Carlie","Cantopher","carlie.cantopher@skynoodle.com","2022-08-12 11:20","Skynoodle","Champion","Champion","806-603-3060",""
"252","Anjanette","O'Dowd","anjanette.odowd@eayo.com","2022-08-12 11:20","Eayo","","Blocker","345-467-5451",""
"201","Susy","Ansty","susy.ansty@lazzy.com","2022-08-12 11:20","Lazzy","Blocker","Blocker","",""
"1551","Babita","Gantley","babita.gantley@photojam.com","2022-08-12 11:20","Photojam","","Blocker","",""
"1101","Manfred","Muscott","manfred.muscott@innoz.com","2022-08-12 11:20","InnoZ","","Blocker","178-424-1970",""
"651","Gleda","Bicksteth","gleda.bicksteth@rhyzio.com","2022-08-12 11:20","Rhyzio","","Legal & Compliance","",""
"902","Frants","Smelley","frants.smelley@edgeclub.com","2022-08-12 11:20","Edgeclub","","Budget Holder","435-951-4614",""
"601","Shir","Pinck","shir.pinck@rooxo.com","2022-08-12 11:20","Rooxo","Blocker","Blocker","559-574-4028",""
"1452","Livvie","Manser","livvie.manser@flashpoint.com","2022-08-12 11:20","Flashpoint","","Budget Holder","",""
"901","Francene","Gircke","francene.gircke@blogtag.com","2022-08-12 11:20","Blogtag","Budget Holder","Budget Holder","851-427-2122",""
"802","Cooper","Simonot","cooper.simonot@abatz.com","2022-08-12 11:20","Abatz","","Other","",""
"553","Birk","Horrell","birk.horrell@rhyzio.com","2022-08-12 11:20","Rhyzio","","Champion","",""
"1251","Myrwyn","Bengtson","myrwyn.bengtson@zava.com","2022-08-12 11:20","Zava","Budget Holder","Budget Holder","530-741-2611",""
"1151","Jacqui","Ainslie","jacqui.ainslie@oodoo.com","2022-08-12 11:20","Oodoo","Influencer","Influencer","323-373-5075",""
"951","Gradeigh","Durrant","gradeigh.durrant@blogxs.com","2022-08-12 11:20","BlogXS","Champion","Champion","",""
